file,start_time,end_time,cells_evaluated,relocation_times,network_stable_times,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
experiment_logs_1.txt,77,503,30,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[249, 249, 310, 310, 310, 310, 438, 438, 438, 438, 438, 438, 438, 438, 438, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503]",156,195,222,241,257,270,281,290,299,307,314,320,326,331,336,341,345,349,353,357,360,363,366,369,373,376,379,381,383
experiment_logs_2.txt,247,605,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[421, 421, 483, 483, 483, 483, 544, 544, 544, 544, 544, 544, 544, 544, 544, 605, 605, 605, 605, 605, 605, 605, 605, 605, 605, 605, 605, 0, 0, 0]",326,366,392,412,427,440,451,461,469,477,484,491,496,502,506,511,515,519,523,527,530,533,536,540,543,545,547,550,552
experiment_logs_3.txt,266,684,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[439, 439, 500, 500, 500, 561, 561, 561, 561, 561, 561, 561, 561, 561, 622, 622, 622, 622, 622, 622, 622, 622, 622, 622, 622, 622, 622, 684, 684, 684]",345,384,410,430,446,458,469,479,488,495,503,509,514,520,525,529,533,537,541,545,548,552,555,558,561,563,566,568,571
experiment_logs_4.txt,109,463,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[280, 280, 341, 341, 341, 402, 402, 402, 402, 402, 402, 402, 402, 402, 463, 463, 463, 463, 463, 463, 463, 463, 463, 463, 463, 463, 463, 463, 463, 0]",187,227,253,273,289,301,312,322,330,338,345,352,357,363,368,372,376,380,384,388,391,394,398,401,404,406,409,411,413
experiment_logs_5.txt,111,534,30,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[284, 284, 345, 345, 345, 345, 469, 469, 469, 469, 469, 469, 469, 469, 469, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534]",190,230,256,275,291,304,315,324,333,341,348,354,360,366,370,375,379,383,387,391,394,397,400,403,407,409,411,414,416
experiment_logs_6.txt,347,956,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[460, 521, 582, 582, 582, 582, 643, 643, 706, 706, 706, 706, 706, 706, 706, 706, 706, 706, 706, 706, 706, 706, 706, 769, 769, 769, 769, 769, 956, 0]",426,465,491,511,527,539,550,560,569,577,584,590,596,601,606,611,614,618,622,626,630,633,636,639,642,645,647,649,652
experiment_logs_7.txt,159,779,28,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[330, 330, 392, 392, 392, 392, 453, 453, 453, 453, 453, 453, 453, 453, 650, 650, 650, 650, 650, 650, 650, 650, 650, 650, 650, 650, 715, 779, 0, 0]",238,278,304,324,339,352,363,373,381,389,396,403,408,414,418,423,427,431,435,439,442,445,448,452,455,457,459,462,464
experiment_logs_8.txt,400,958,27,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[573, 573, 634, 634, 634, 634, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 831, 831, 831, 831, 831, 831, 958, 0, 0, 0]",479,518,544,564,580,592,603,613,622,629,637,643,648,654,659,663,667,671,675,679,683,686,689,692,695,698,701,704,706
experiment_logs_9.txt,148,573,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[261, 322, 383, 383, 383, 444, 444, 444, 507, 507, 507, 507, 507, 507, 507, 507, 507, 507, 507, 507, 507, 573, 573, 573, 573, 573, 573, 573, 573, 573]",227,266,292,312,328,340,351,361,370,377,385,391,396,402,407,411,415,419,423,427,430,434,437,440,443,445,448,450,453
experiment_logs_10.txt,165,608,28,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[342, 474, 474, 545, 545, 545, 545, 545, 545, 545, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 608, 0, 0]",244,283,309,329,345,358,369,378,387,395,402,411,417,422,427,432,436,440,444,448,451,454,457,460,464,466,468,471,473
