file,start_time,end_time,cells_evaluated,relocation_times,network_stable_times,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
experiment_logs_1.txt,143,378,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[255, 255, 255, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 316, 378, 378, 378, 378, 378, 378, 378, 0]",183,202,215,224,232,239,244,249,253,257,260,263,265,268,270,273,274,276,277,279,281,282,284,285,287,288,288,289,290
experiment_logs_2.txt,173,408,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[285, 285, 285, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 346, 408, 408, 408, 408, 408, 408, 408, 0]",213,232,245,254,262,269,274,279,283,287,290,293,296,298,300,303,304,306,307,309,311,312,314,315,317,318,319,319,320
experiment_logs_3.txt,99,275,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[214, 214, 214, 214, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 275, 0, 0, 0, 0, 0]",138,158,171,180,188,194,200,204,208,212,216,219,221,223,226,228,230,231,233,235,236,238,239,241,243,243,244,245,246
experiment_logs_4.txt,381,613,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[491, 491, 491, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 552, 613, 613, 613, 613, 613, 613, 613, 613, 0]",420,440,452,462,470,476,482,486,490,494,498,501,503,506,508,510,512,514,515,517,518,520,522,523,525,526,527,528,529
experiment_logs_5.txt,192,427,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[305, 305, 305, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 427, 427, 427, 427, 427, 427, 427]",231,251,263,273,281,287,293,298,301,305,309,312,314,317,319,321,323,325,326,328,329,331,333,334,336,337,337,338,339
experiment_logs_6.txt,75,258,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[197, 197, 197, 197, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 0, 0]",115,135,147,157,165,171,177,181,185,189,193,196,198,201,203,205,207,209,210,212,213,215,217,218,220,221,221,223,224
experiment_logs_7.txt,109,286,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[224, 224, 224, 224, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 0, 0, 0, 0, 0]",149,168,181,191,199,205,210,215,219,223,226,229,232,234,237,239,241,242,244,245,247,249,250,252,253,254,255,256,257
experiment_logs_8.txt,184,419,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[297, 297, 297, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 358, 419, 419, 419, 419, 419, 419, 419]",223,243,255,265,273,279,285,289,293,297,301,304,306,309,311,313,315,317,318,320,321,323,325,326,328,329,329,330,331
experiment_logs_9.txt,125,359,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[237, 237, 237, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 298, 359, 359, 359, 359, 359, 359, 359]",164,184,196,206,214,220,226,231,235,238,242,245,247,250,252,254,256,258,259,261,262,264,266,267,269,270,271,271,272
experiment_logs_10.txt,163,396,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[274, 274, 274, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 396, 396, 396, 396, 396, 396, 396, 396]",202,222,235,244,252,258,264,269,273,277,280,283,285,288,290,293,294,296,297,299,301,302,304,305,307,308,309,310,310
