file,start_time,end_time,cells_evaluated,relocation_times,network_stable_times,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
experiment_logs_1.txt,72,433,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[189, 250, 250, 311, 311, 311, 311, 372, 372, 372, 372, 372, 372, 372, 372, 372, 372, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 0]",150,190,216,236,252,264,275,285,294,301,309,315,320,326,331,336,340,344,347,351,355,358,361,364,367,370,372,375,377
experiment_logs_2.txt,116,472,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[289, 289, 350, 350, 350, 350, 411, 411, 411, 411, 411, 411, 411, 411, 411, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472]",195,235,261,281,297,309,320,330,338,346,353,360,365,371,376,380,384,388,392,396,400,403,406,409,412,415,417,419,422
experiment_logs_3.txt,94,451,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[206, 267, 328, 328, 328, 328, 389, 389, 389, 389, 389, 389, 389, 389, 389, 451, 451, 451, 451, 451, 451, 451, 451, 451, 451, 451, 451, 451, 451, 451]",173,212,238,258,274,287,298,307,316,324,331,337,343,348,353,358,362,366,370,374,377,380,383,387,390,392,395,397,399
experiment_logs_4.txt,44,400,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[156, 217, 278, 278, 278, 278, 339, 339, 339, 339, 339, 339, 339, 339, 339, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",123,162,188,208,224,236,247,257,266,274,281,287,293,298,303,308,312,316,320,324,327,330,333,336,340,342,344,347,349
experiment_logs_5.txt,134,489,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[305, 305, 367, 367, 367, 367, 428, 428, 428, 428, 428, 428, 428, 428, 428, 489, 489, 489, 489, 489, 489, 489, 489, 489, 489, 489, 489, 489, 489, 489]",213,253,279,299,314,327,338,348,356,364,371,378,383,389,394,398,402,406,410,414,417,421,424,427,430,433,435,437,440
experiment_logs_6.txt,182,540,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[295, 356, 418, 418, 418, 418, 479, 479, 479, 479, 479, 479, 479, 479, 479, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 0]",261,301,327,347,362,375,386,396,404,412,419,426,431,437,442,446,450,454,458,462,465,469,472,475,478,481,483,485,488
experiment_logs_7.txt,91,448,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 265, 326, 326, 326, 326, 387, 387, 387, 387, 387, 387, 387, 387, 387, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 448, 0, 0]",169,209,235,255,271,283,294,304,313,321,328,334,340,345,350,355,359,363,367,371,374,377,380,383,387,389,391,394,396
experiment_logs_8.txt,252,609,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[364, 425, 486, 486, 486, 486, 548, 548, 548, 548, 548, 548, 548, 548, 548, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 609, 0]",331,370,397,416,432,445,456,465,474,482,489,495,501,507,511,516,520,524,528,532,535,538,542,545,548,550,553,555,558
experiment_logs_9.txt,207,563,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[319, 380, 441, 441, 441, 441, 502, 502, 502, 502, 502, 502, 502, 502, 502, 563, 563, 563, 563, 563, 563, 563, 563, 563, 563, 563, 563, 563, 563, 563]",286,325,351,371,387,399,410,420,429,437,444,450,456,461,466,471,475,479,483,487,490,493,496,500,503,505,508,510,512
experiment_logs_10.txt,155,511,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[327, 327, 388, 388, 388, 388, 449, 449, 449, 449, 449, 449, 449, 449, 449, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511]",234,273,299,319,335,348,359,368,377,385,392,398,404,410,414,419,423,427,431,435,438,441,445,448,451,453,456,458,460
