file,start_time,end_time,cells_evaluated,relocation_times,network_stable_times,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
experiment_logs_1.txt,154,510,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[326, 326, 387, 387, 387, 387, 449, 449, 449, 449, 449, 449, 449, 449, 449, 510, 510, 510, 510, 510, 510, 510, 510, 510, 510, 510, 510, 510, 510, 0]",233,273,299,318,334,347,358,367,376,384,391,397,403,409,413,418,422,426,430,434,437,440,444,447,450,452,455,457,460
experiment_logs_2.txt,135,491,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[308, 308, 369, 369, 369, 369, 430, 430, 430, 430, 430, 430, 430, 430, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491, 0]",214,254,280,300,315,328,339,349,357,365,372,379,384,390,395,399,403,407,411,415,418,422,425,428,431,434,436,438,441
experiment_logs_3.txt,89,446,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[262, 262, 323, 323, 323, 384, 384, 384, 384, 384, 384, 384, 384, 384, 446, 446, 446, 446, 446, 446, 446, 446, 446, 446, 446, 446, 446, 446, 446, 0]",168,207,233,253,269,282,293,302,311,319,326,332,338,343,348,353,357,361,365,369,372,375,378,382,385,387,390,392,394
experiment_logs_4.txt,122,478,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[294, 294, 355, 355, 355, 355, 416, 416, 416, 416, 416, 416, 416, 416, 416, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478]",201,240,266,286,302,315,326,335,344,352,359,365,371,376,381,386,390,394,398,402,405,408,411,414,418,420,422,425,427
experiment_logs_5.txt,100,456,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[272, 272, 333, 333, 333, 333, 395, 395, 395, 395, 395, 395, 395, 395, 456, 456, 456, 456, 456, 456, 456, 456, 456, 456, 456, 456, 456, 456, 0, 0]",179,219,245,264,280,293,304,313,322,330,337,343,349,355,359,364,368,372,376,380,383,386,390,393,396,398,401,403,406
experiment_logs_6.txt,115,471,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[287, 287, 348, 348, 348, 348, 410, 410, 410, 410, 410, 410, 410, 410, 410, 471, 471, 471, 471, 471, 471, 471, 471, 471, 471, 471, 471, 471, 471, 0]",194,234,260,279,295,308,319,328,337,345,352,358,364,370,374,379,383,387,391,395,398,401,405,408,411,413,416,418,420
experiment_logs_7.txt,41,402,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[158, 219, 219, 280, 280, 280, 280, 341, 341, 341, 341, 341, 341, 341, 341, 341, 402, 402, 402, 402, 402, 402, 402, 402, 402, 402, 402, 402, 402, 0]",119,159,185,205,221,233,244,254,263,270,278,284,289,295,300,305,309,312,316,320,324,327,330,333,336,339,341,344,346
experiment_logs_8.txt,47,726,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[159, 220, 281, 281, 281, 281, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 404, 404, 404, 404, 404, 404, 404, 404, 404, 404, 599, 726, 0, 0]",126,165,191,211,227,239,250,260,269,276,284,290,295,301,306,310,314,318,322,326,329,333,336,339,342,345,347,349,352
experiment_logs_9.txt,100,457,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[212, 273, 335, 335, 335, 335, 396, 396, 396, 396, 396, 396, 396, 396, 396, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457]",179,219,245,265,280,293,304,314,322,330,337,344,349,355,360,364,368,372,376,380,383,387,390,393,396,399,401,403,406
experiment_logs_10.txt,115,472,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[228, 289, 350, 350, 350, 350, 411, 411, 411, 411, 411, 411, 411, 411, 411, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 472, 0, 0]",194,233,259,279,295,307,318,328,337,345,352,358,364,369,374,379,383,387,391,395,398,401,404,407,410,413,415,418,420
