file,start_time,end_time,cells_evaluated,relocation_times,network_stable_times,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
experiment_logs_1.txt,61,417,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[234, 295, 295, 295, 295, 295, 356, 356, 356, 356, 356, 356, 356, 356, 417, 417, 417, 417, 417, 417, 417, 417, 417, 417, 417, 417, 417, 417, 417, 0]",140,179,205,225,241,253,264,274,283,291,298,304,309,315,320,324,328,332,336,340,343,347,350,353,356,359,361,363,366
experiment_logs_2.txt,170,825,29,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 31, 0]","[405, 405, 405, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 540, 625, 625, 625, 625, 625, 625, 625, 760, 760, 760, 760, 760, 825, 0]",249,288,314,334,350,362,374,383,392,400,407,414,419,425,429,434,438,442,446,450,453,456,460,463,466,468,471,474,478
experiment_logs_3.txt,160,516,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[272, 333, 394, 394, 394, 455, 455, 455, 455, 455, 455, 455, 455, 455, 516, 516, 516, 516, 516, 516, 516, 516, 516, 516, 516, 516, 516, 516, 0, 0]",239,279,305,324,340,353,364,373,382,390,397,403,409,414,419,424,428,432,436,440,443,446,449,452,455,458,460,463,465
experiment_logs_4.txt,283,640,27,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[455, 579, 579, 579, 579, 579, 579, 579, 579, 579, 579, 579, 579, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 640, 0, 0, 0]",362,401,427,447,463,475,486,496,505,513,520,526,531,537,542,546,550,554,558,562,565,569,572,575,578,581,583,585,588
experiment_logs_5.txt,147,647,30,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[259, 385, 385, 448, 448, 448, 448, 448, 448, 448, 513, 513, 513, 513, 513, 513, 584, 584, 584, 584, 584, 584, 584, 584, 584, 584, 584, 584, 584, 647]",226,266,292,312,327,340,351,361,369,377,384,391,396,402,406,411,415,419,423,427,430,433,436,440,443,445,447,450,452
experiment_logs_6.txt,562,1139,29,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[733, 733, 861, 861, 861, 861, 930, 930, 930, 930, 930, 930, 930, 930, 930, 930, 930, 1009, 1009, 1009, 1009, 1009, 1009, 1009, 1009, 1009, 1009, 1009, 1139, 0]",641,680,706,726,742,754,765,775,783,791,798,805,810,816,821,825,829,833,837,841,844,847,851,854,857,859,863,868,870
experiment_logs_7.txt,267,901,30,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[440, 503, 566, 566, 566, 566, 566, 632, 632, 632, 632, 632, 632, 632, 632, 632, 710, 710, 710, 710, 710, 710, 710, 710, 710, 710, 710, 776, 839, 901]",346,385,411,431,447,459,470,480,489,496,504,510,515,521,526,530,534,538,542,546,549,553,556,559,562,564,567,569,572
experiment_logs_8.txt,96,452,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[268, 268, 329, 329, 329, 329, 390, 390, 390, 390, 390, 390, 390, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 452, 0]",175,215,241,260,276,289,300,309,318,326,333,339,345,351,355,360,364,368,372,376,379,382,385,388,392,394,396,399,401
experiment_logs_9.txt,198,693,30,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[371, 371, 432, 432, 432, 493, 493, 493, 493, 493, 493, 493, 493, 631, 631, 631, 631, 631, 631, 631, 631, 631, 631, 631, 631, 631, 693, 693, 693, 693]",277,316,342,362,378,390,401,411,420,428,435,441,446,452,457,462,465,469,473,477,480,484,487,490,493,496,498,500,503
experiment_logs_10.txt,260,617,29,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[432, 432, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 555, 617, 617, 617, 617, 617, 617, 617, 617, 617, 617, 617, 617, 617, 617, 617, 0]",339,378,404,424,440,452,463,473,482,490,497,503,508,514,519,524,527,531,535,539,542,546,549,552,555,558,560,562,565
